ratio,OA_mean,OA_std,F1_mean,F1_std,Kappa_mean,Kappa_std
5%,0.9357553366174056,0.017074566644590276,0.9326235712414304,0.016667735875317957,0.9268160884969934,0.019412115070655784
10%,0.773697324232,0.004969412826731611,0.970351390201292,0.00491349904463268,0.9679402419300261,0.005660815851855032
15%,0.9878454305698888,0.002373608708231217,0.9874047912643391,0.003053481603078365,0.9861431985996829,0.0027101088232736963
80%,0.9999026763990267,0.00021762218759121022,0.9999015648210896,0.00022010775142094574,0.9998890919953564,0.0002479978376318913
